key,reference,identification-date,impact,probability,description,link
risk-00,R-000,2022/07/24 00:00,22.3,25.0,descripción de prueba,http://www.ejemplo.com
risk-01,R-999,2022/07/24 00:00,22.3,25.0,descripción de prueba,http://www.ejemplo.com
risk-02,R-666,2022/07/24 00:00,22.3,25.0,descripción de prueba,http://www.ejemplo.com
risk-03,R-001,2022/07/29 00:00,22.3,25.0,descripción de prueba,http://www.ejemplo.com
risk-04,R-002,1980/07/29 00:00,22.3,25.0,descripción de prueba,http://www.ejemplo.com
risk-05,R-003,2022/06/21 00:00,22.3,25.0,descripción de prueba,http://www.ejemplo.com
risk-06,R-004,2022/06/21 00:00,0.0,25.0,descripción de prueba,http://www.ejemplo.com
risk-07,R-005,2022/06/21 00:00,1.0,25.0,descripción de prueba,http://www.ejemplo.com
risk-08,R-006,2022/06/21 00:00,200.23,25.0,descripción de prueba,http://www.ejemplo.com
risk-09,R-007,2022/06/21 00:00,200.23,2.0,descripción de prueba,http://www.ejemplo.com
risk-10,R-008,2022/06/21 00:00,200.23,100.0,descripción de prueba,http://www.ejemplo.com
risk-11,R-009,2022/07/24 00:00,22.3,25.0,El sistema enfrenta una vulnerabilidad significativa ante ataques de denegación de servicio distrib,http://www.ejemplo.com
risk-12,R-010,2022/07/24 00:00,22.3,25.0,El sistema enfrenta una vulnerabilidad significativa ante ataques de denegación de servicio distribu,http://www.ejemplo.com
risk-13,R-011,2022/07/24 00:00,22.3,25.0,E,http://www.ejemplo.com
risk-14,R-012,2022/07/24 00:00,22.3,25.0,このシステムは、分散型サービス拒否攻撃に対して重大な脆弱性に直面しています。,http://www.ejemplo.com
risk-15,R-013,2022/07/24 00:00,22.3,25.0,descripción de prueba,
risk-16,R-014,2022/07/24 00:00,22.3,25.0,descripción de prueba,http://例.com
